Type,Cases,Deaths
Linear Model,320481.0,10324.690205744733
Linear Model,325356.0,10404.925886222472
Linear Model,330240.0,10485.309694110323
Linear Model,335038.0,10564.278062301542
Linear Model,341746.0,10674.68235863891
Linear Model,347135.0,10763.377760094198
Linear Model,352376.0,10849.637288583188
Linear Model,357926.0,10940.982524819381
Linear Model,363884.0,11039.04287031402
Linear Model,369510.0,11131.638960235612
Linear Model,374880.0,11220.02164826955
Linear Model,382708.0,11348.859577865394
Linear Model,388543.0,11444.895515421826
Linear Model,395028.0,11551.629543708623
Linear Model,401325.0,11655.269354984175
Linear Model,408165.0,11767.846186669864
Linear Model,414131.0,11866.038200973491
Linear Model,420281.0,11967.258597883869
Linear Model,428054.0,12095.191304417913
Linear Model,434320.0,12198.320899058632
Linear Model,440737.0,12303.93574246902
Linear Model,447341.0,12412.62834428953
Linear Model,454254.0,12526.406653857244
Linear Model,460332.0,12626.44203148672
Linear Model,466016.0,12719.99272027348
Linear Model,474661.0,12862.277326987336
Linear Model,480952.0,12965.818386656149
Linear Model,487685.0,13076.634148021607
Linear Model,495152.0,13199.530522611816
Linear Model,502197.0,13315.48136752785
Linear Model,508674.0,13422.083727005658
Linear Model,514500.0,13517.971537151976
Linear Model,522076.0,13642.661899264662
Linear Model,528307.0,13745.215442866054
Linear Model,535204.0,13858.73041481579
Linear Model,541936.0,13969.529717580126
Linear Model,545983.0,14036.137676327491
Linear Model,551184.0,14121.738860771535
Linear Model,556649.0,14211.68511591222
Linear Model,563156.0,14318.781233423737
