Country,Date,Cases,Deaths,Tests,Cases/Population,Diff Cases/Population,Deaths/Cases,Tests/Cases
United States,2021-03-15,29499944.0,536431.0,364327620.0,8.988404631322364,1.7227605118829814,1.818413621395349,12.350112257840218
United States,2021-03-16,29553952.0,537611.0,365823588.0,9.004860450944546,1.6455819622182233,1.819083281992202,12.378161404606734
United States,2021-03-17,29613232.0,538837.0,367438953.0,9.022922608165752,1.806215722120541,1.8195818679973872,12.407931461179246
United States,2021-03-18,29673607.0,540483.0,368912285.0,9.041318403412554,1.8395795246801683,1.8214266974688988,12.43233709336381
United States,2021-03-19,29735258.0,541610.0,370254774.0,9.060102985984155,1.878458257160176,1.8214403924122669,12.45170880979072
United States,2021-03-20,29790777.0,542349.0,371244069.0,9.077019195612431,1.691620962827578,1.820526534101477,12.461711522327867
United States,2021-03-21,29824599.0,542837.0,371857434.0,9.08732449725777,1.0305301645338716,1.8200982350173427,12.468145305155653
United States,2021-03-22,29876035.0,543558.0,372830859.0,9.102996648385131,1.5672151127361644,1.8193779730141566,12.479261689176626
United States,2021-03-23,29929723.0,544433.0,374358959.0,9.119354966483852,1.6358318098721014,1.8190378841795494,12.50793263272099
United States,2021-03-24,30016661.0,545943.0,376014137.0,9.145844302254723,2.6489335770870426,1.8187998991626684,12.52684757308616
United States,2021-03-25,30084207.0,547344.0,377457882.0,9.16642504570384,2.058074344911631,1.8193732013610995,12.546712033991788
United States,2021-03-26,30161584.0,548495.0,378829350.0,9.190001218769044,2.3576173065205097,1.8185218654298791,12.559995191233988
United States,2021-03-27,30224426.0,549290.0,379827389.0,9.209148689823278,1.9147471054234089,1.8173711553695016,12.566901651002404
United States,2021-03-28,30267649.0,549815.0,380449982.0,9.222318403412553,1.3169713589274323,1.8165104266935301,12.569525370140244
United States,2021-03-29,30336922.0,550522.0,381455693.0,9.2434253503961,2.1106946983547203,1.8146930001665957,12.57397480865066
United States,2021-03-30,30398351.0,551406.0,382986088.0,9.262142291285802,1.871694088970166,1.8139339202971898,12.598909986926593
United States,2021-03-31,30465116.0,552482.0,384563867.0,9.28248507007922,2.0342778793418503,1.8134905509632722,12.623088879753485
United States,2021-04-01,30544235.0,553559.0,386003017.0,9.306592017062766,2.410694698354554,1.8123190841086705,12.637508092771025
United States,2021-04-02,30614122.0,554513.0,387344316.0,9.327886045094456,2.1294028031690004,1.811298066950932,12.652471823297757
United States,2021-04-03,30677383.0,555263.0,388312874.0,9.347161182205973,1.9275137111517182,1.8100077180638257,12.65795305942492
United States,2021-04-04,30712516.0,555560.0,388876182.0,9.35786593540524,1.0704753199267003,1.8089042265374804,12.661814551435643
United States,2021-04-05,30789920.0,556066.0,389821778.0,9.381450335161487,2.3584399756247265,1.8060001455021644,12.660694733860952
United States,2021-04-06,30850594.0,556926.0,391370325.0,9.399937233394272,1.8486898232785265,1.8052359056684613,12.685989935882596
United States,2021-04-07,30925615.0,559519.0,393033060.0,9.422795551492992,2.2858318098720076,1.8092413036895145,12.708981211853022
United States,2021-04-08,31005509.0,560546.0,394543749.0,9.447138634978671,2.434308348567882,1.8078916233886049,12.724956361787191
United States,2021-04-09,31088219.0,561437.0,395990411.0,9.472339731870811,2.5201096892139674,1.8059477771949561,12.737635790586781
United States,2021-04-10,31154906.0,562149.0,396999403.0,9.492658744667885,2.0319012797074265,1.8043675047519,12.742757208126386
United States,2021-04-11,31201415.0,562454.0,397642426.0,9.506829677026204,1.4170932358318566,1.8026554244414879,12.744371561353868
United States,2021-04-12,31271490.0,562929.0,398692193.0,9.528180987202925,2.1351310176720872,1.800134883243491,12.749382680518261
United States,2021-04-13,31349456.0,563762.0,400298850.0,9.55193662400975,2.3755636806825464,1.7983150967595736,12.76892492169561
United States,2021-04-14,31424859.0,564716.0,401966655.0,9.574911334552102,2.2974710542351673,1.7970359071459954,12.791359063854511
United States,2021-04-15,31499167.0,565620.0,403443606.0,9.59755240706886,2.2641072516758953,1.795666533022921,12.808072226163949
United States,2021-04-16,31579238.0,566498.0,404891637.0,9.621949421084706,2.439701401584493,1.7938938235305106,12.821450504917186
United States,2021-04-17,31631770.0,567198.0,405897061.0,9.63795551492992,1.600609384521512,1.793127605568705,12.831942727201165
United States,2021-04-18,31673891.0,567535.0,406508220.0,9.650789457647775,1.283394271785454,1.7918070122802405,12.834173736343287
United States,2021-04-19,31741996.0,568035.0,407522190.0,9.67154052407069,2.075106642291402,1.7895377467755966,12.838581102461232
United States,2021-04-20,31802945.0,568877.0,409085974.0,9.690111212675198,1.8570688604508945,1.788755726867433,12.863147548128012
United States,2021-04-21,31865800.0,569737.0,410733761.0,9.709262644728824,1.9151432053625683,1.7879262406718173,12.889485310269945
United States,2021-04-22,31933078.0,570706.0,412223765.0,9.72976173065204,2.0499085923216143,1.7871938307982713,12.908989387117646
United States,2021-04-23,31995489.0,571483.0,413629834.0,9.748777879341866,1.9016148689825485,1.786136164382423,12.927754721923456
United States,2021-04-24,32048984.0,572234.0,414621964.0,9.765077391834247,1.629951249238104,1.7854980987852844,12.937132858876275
United States,2021-04-25,32081137.0,572527.0,415210502.0,9.774874162096282,0.9796770262035182,1.784621910376805,12.942512043759546
United States,2021-04-26,32128705.0,573017.0,416204193.0,9.789367763558806,1.4493601462524097,1.7835048129079587,12.954278518228481
United States,2021-04-27,32179541.0,573671.0,417772538.0,9.804857099329677,1.5489335770871193,1.7827196478657044,12.982551180577747
United States,2021-04-28,32234691.0,574639.0,419344616.0,9.821660877513711,1.6803778184034002,1.7826725871205034,13.009109223351947
United States,2021-04-29,32292942.0,575516.0,420758818.0,9.839409506398537,1.774862888482609,1.7821727113001968,13.029435905839735
United States,2021-04-30,32350861.0,576265.0,422068523.0,9.857056977452773,1.7647471054235808,1.7812972582089854,13.046593195773058
United States,2021-05-01,32396252.0,576980.0,422970102.0,9.870887263863498,1.3830286410724923,1.7810084944394184,13.056143099516573
United States,2021-05-02,32425655.0,577317.0,423490959.0,9.879846130408287,0.8958866544789501,1.780432808527692,13.060367138304532
United States,2021-05-03,32476146.0,577820.0,424382395.0,9.895230347349179,1.5384216940891093,1.7792135803306217,13.067510997148492
United States,2021-05-04,32516869.0,578694.0,425799757.0,9.907638330286412,1.2407982937233442,1.779673190552264,13.094734213186392
United States,2021-05-05,32561573.0,579489.0,427322402.0,9.921259293113954,1.362096282754166,1.7796713936393673,13.123518387763392
United States,2021-05-06,32609130.0,580287.0,428626484.0,9.935749542961608,1.4490249847654013,1.7795230967523512,13.144370426319254
United States,2021-05-07,32657260.0,581046.0,429798160.0,9.95041438147471,1.4664838513102296,1.7792245889581675,13.160876325815455
United States,2021-05-08,32690935.0,581676.0,430647145.0,9.960674893357709,1.0260511882998813,1.7793189457566754,13.1732893231717
United States,2021-05-09,32712362.0,581925.0,431129766.0,9.967203534430226,0.6528641072517161,1.778914650064095,13.179414130963702
United States,2021-05-10,32749160.0,582338.0,431984124.0,9.978415600243753,1.1212065813527516,1.7781769059114798,13.190693257475917
United States,2021-05-11,32782822.0,583025.0,433311248.0,9.988672151127362,1.0256550883608995,1.778446651115026,13.217631111806055
United States,2021-05-12,32818648.0,583793.0,434647865.0,9.999588056063375,1.0915904936013021,1.7788453686452896,13.243929640245996
United States,2021-05-13,32856724.0,584559.0,435837185.0,10.011189518586228,1.1601462522852657,1.7791152885479393,13.264779075357604
United States,2021-05-14,32898984.0,585216.0,436917567.0,10.024065813528336,1.2876294942108402,1.7788269692462235,13.28057933339218
United States,2021-05-15,32927841.0,585715.0,437702702.0,10.03285831809872,0.8792504570383386,1.7787834920607155,13.292784728886415
United States,2021-05-16,32944716.0,585992.0,438155007.0,10.038,0.5141681901280393,1.7787131629849229,13.29970508775975
United States,2021-05-17,32973337.0,586390.0,438948491.0,10.046720597196831,0.8720597196830937,1.7783762680738076,13.312225298883154
United States,2021-05-18,33001126.0,587161.0,440158801.0,10.055187690432662,0.8467093235831058,1.7792150486016751,13.337690386685594
United States,2021-05-19,33030427.0,587837.0,441333229.0,10.06411547836685,0.8927787934187137,1.7796833204729685,13.361414582984349
United States,2021-05-20,33060633.0,588514.0,442337149.0,10.073319012797075,0.9203534430225702,1.7801050572746142,13.379572889605592
United States,2021-05-21,33088579.0,589129.0,443317351.0,10.081833942717855,0.851492992078029,1.7804602609256808,13.39789632549648
United States,2021-05-22,33108377.0,589626.0,444023895.0,10.087866240097501,0.6032297379645613,1.7808967198845176,13.411225050385285
United States,2021-05-23,33121245.0,589823.0,444430708.0,10.09178702010969,0.39207800121889846,1.780799604604235,13.418297168479024
United States,2021-05-24,33147060.0,590269.0,445135072.0,10.09965265082267,0.786563071297941,1.7807582331585365,13.42909663783153
United States,2021-05-25,33169799.0,590903.0,446204430.0,10.106581048141377,0.692839731870798,1.7814488414596663,13.452129450648766
United States,2021-05-26,33193775.0,591882.0,447247942.0,10.113886349786716,0.7305301645338602,1.7831114418290779,13.473849901073319
United States,2021-05-27,33221223.0,593244.0,448170611.0,10.122249542961608,0.8363193174892203,1.785737990440629,13.490491033397536
United States,2021-05-28,33243082.0,593805.0,449003481.0,10.128909811090798,0.6660268129190072,1.7862513469719805,13.50667429090961
United States,2021-05-29,33255083.0,594137.0,449580155.0,10.13256642291286,0.36566118220608956,1.7866050732755652,13.519140968615234
United States,2021-05-30,33261817.0,594272.0,449938295.0,10.134618220597197,0.20517976843379415,1.7866492380737948,13.52717126066805
United States,2021-05-31,33267592.0,594425.0,450252667.0,10.136377818403412,0.17595978062150408,1.786798996452764,13.534272844274392
United States,2021-06-01,33290532.0,595076.0,450955601.0,10.143367458866544,0.6989640463132218,1.787523251355671,13.546061715084637
United States,2021-06-02,33307449.0,595635.0,452059990.0,10.148521937842778,0.5154478976233889,1.7882936636786564,13.572339028425743
United States,2021-06-03,33326529.0,596254.0,453043889.0,10.154335466179159,0.5813528336380713,1.789127214538304,13.594091631924824
United States,2021-06-04,33343379.0,596784.0,453909816.0,10.159469530773919,0.5134064594759735,1.7898126041754798,13.613191872365425
United States,2021-06-05,33357285.0,597166.0,454522608.0,10.163706581352834,0.42370505789151025,1.7902116434236182,13.625887358638451
United States,2021-06-06,33362680.0,597338.0,454890474.0,10.16535039609994,0.1643814747106731,1.7904376986501085,13.634710221121324
United States,2021-06-07,33378176.0,597655.0,455532211.0,10.170071907373552,0.4721511273611867,1.790556200554518,13.647606477957334
United States,2021-06-08,33391189.0,597998.0,456420634.0,10.174036867763558,0.3964960390005601,1.7908856135670999,13.66889433017794
United States,2021-06-09,33409836.0,598449.0,457294014.0,10.179718464351005,0.5681596587447046,1.791235970149629,13.687406726569984
United States,2021-06-10,33424381.0,598882.0,458082970.0,10.184150213284584,0.4431748933578561,1.79175195495767,13.705054702434131
United States,2021-06-11,33449080.0,599533.0,458852942.0,10.19167580743449,0.7525594149907278,1.7923751565065469,13.717954036403992
United States,2021-06-12,33457308.0,599827.0,459413236.0,10.19418281535649,0.25070079219986496,1.792813097814086,13.731326979444969
United States,2021-06-13,33462085.0,599941.0,459761080.0,10.19563833028641,0.14555149299209091,1.7928978424386885,13.739761882739824
United States,2021-06-14,33474815.0,600121.0,460359063.0,10.199517062766606,0.3878732480195879,1.7927537463612568,13.75240051363988
United States,2021-06-15,33486120.0,600441.0,461187219.0,10.202961608775137,0.34445460085308355,1.7931041279192692,13.772488989467876
United States,2021-06-16,33498545.0,600818.0,461970524.0,10.206747410115783,0.3785801340645989,1.793564466755198,13.79076386750529
United States,2021-06-17,33508938.0,601104.0,462684791.0,10.20991407678245,0.3166666666666984,1.793861685500149,13.807802294420672
United States,2021-06-18,33529529.0,601704.0,463368964.0,10.216187995124924,0.6273918342474261,1.7945495148470472,13.819727798741223
United States,2021-06-19,33538049.0,601877.0,463860923.0,10.218783973187081,0.2595978062156945,1.7946094598406723,13.8308857202755
United States,2021-06-20,33541941.0,601966.0,464189573.0,10.219969835466179,0.11858622790974493,1.794666563869992,13.839079050314947
United States,2021-06-21,33554275.0,602240.0,464751033.0,10.22372790981109,0.37580743449119325,1.7948234613920282,13.850724922532226
United States,2021-06-22,33565215.0,602565.0,465522934.0,10.227061243144425,0.33333333333338544,1.7952067341144695,13.869207570992767
United States,2021-06-23,33577651.0,602943.0,466276391.0,10.230850396099939,0.37891529555142967,1.7956676004524557,13.886510137352968
United States,2021-06-24,33590481.0,603287.0,466955319.0,10.234759597806216,0.39092017062767326,1.796005838677928,13.901418053525342
United States,2021-06-25,33614196.0,603784.0,467616193.0,10.241985374771481,0.7225776965265496,1.7962172886717267,13.911271089155308
United States,2021-06-26,33621499.0,603932.0,468102302.0,10.244210542352224,0.22251675807432036,1.7962673228817074,13.922707669875159
